np dist gamma
271518 0.0100000000000473 0.00012332809448034
1031973 0.0137101203791718 0.000190790121602627
2363249 0.0240518972932184 0.000392225930512926
2699304 0.0335111359676381 0.000621580745270236
4058281 0.0438632593280347 0.00089543834306325
5017704 0.0540570987903555 0.00120656779600956
5006993 0.0638265214434034 0.00149812972202681
6478608 0.0736185345135928 0.00181544023036039
7887480 0.0842039413065693 0.00215209730932226
7917531 0.0945794059900252 0.00249479233535067
8806686 0.104265162608638 0.00280657462528243
8498459 0.113679420637664 0.00311433788513848
11267783 0.123748276974603 0.00343649271858532
11772782 0.134241109925158 0.00376521394021095
12456282 0.144696710427306 0.00408572517280044
11919278 0.154293493556251 0.00437861307579277
13526151 0.164141933915552 0.00465157334120691
14541871 0.174008625135681 0.00495429566910437
15807808 0.184316570938995 0.0052185572030719
16017424 0.194532605690617 0.0054941298264408
15980041 0.204213102743402 0.00574159325071098
18602891 0.214465357783514 0.00599552592272508
17717269 0.224417928500835 0.00622445173705909
18017132 0.234038364035428 0.00645003150483192
20837564 0.244147548367584 0.00666805542589217
20952986 0.254409374677298 0.00689652140340991
22243538 0.264735837103383 0.0070983656751135
20791574 0.274517751927319 0.00729067041774963
21823385 0.284094827466254 0.00747269588078154
24837128 0.294185496031369 0.00765176923676736
23261639 0.304119386866231 0.00782230917215149
26472157 0.314296332090811 0.00798256514385037
25241502 0.324355267560253 0.00814112233970169
27138024 0.334474684596054 0.0082925709503399
28570819 0.344712181919398 0.00843894180027013
25663199 0.35448845410351 0.00856057665199261
29420890 0.364275968277642 0.00869624258573056
28339649 0.374142836765825 0.0088126532278744
32408679 0.384443117864101 0.00892979031225897
30957123 0.394695934057863 0.0090435705564568
29312721 0.404360054759623 0.00915134855755979
33325047 0.414212922128153 0.00924566664862044
32523350 0.42427994895756 0.00933870878448922
35598610 0.434525399067827 0.00942526321152661
34461973 0.444742539908306 0.00951306491456357
33054151 0.454505431272974 0.00960268181988034
36166730 0.464263258128088 0.00966876682427756
35775123 0.474215434222391 0.00973910850817033
37923640 0.484261917778604 0.0098056870937415
38462551 0.494452591676759 0.00987535524014359
40004862 0.504783733748646 0.00994204060475062
39181995 0.514874551139126 0.010002700400598
37668462 0.524635639650791 0.010063792128301
41109170 0.534442165656322 0.010117123868727
39615526 0.544339525366643 0.0101739272624298
44159850 0.554497612690454 0.0102235793707487
41252672 0.564528080796646 0.010281568661301
43453156 0.574511339510373 0.0103426837856061
43031741 0.58439412541695 0.0103927115903474
44191008 0.594335259146002 0.0104416849012209
46496968 0.604474717167619 0.0104978416036918
45389785 0.614549129739099 0.0105516614160589
